node,Proportional,Uniform
830,176.7976,221.4441
831,180.4642,222.5914
832,382.4650,479.8470
833,207.4666,259.4469
834,355.3001,444.7657
835,531.6970,641.4840
836,180.3755,223.3196
837,1040.3781,1236.5005
838,148.8492,186.0477
839,118.9256,148.4637
840,237.6903,297.1354
841,298.5882,372.7185
842,543.7353,673.1757
843,357.4539,446.2230
844,220.7045,265.4477
845,149.3364,186.4633
846,635.9857,750.8237
847,476.4244,570.6316
848,209.2350,261.7330
849,795.3684,946.2631
850,446.5952,533.0483
851,180.3342,224.8753
852,642.5050,757.1138
853,150.3618,187.0855
854,979.7648,1169.4924
855,240.4788,299.2123
856,509.2262,603.8999
857,333.7867,413.2019
858,120.8795,150.1238
859,224.7494,265.0364
860,240.9931,299.5230
861,385.7291,457.7765
862,299.0987,373.6525
863,610.9171,754.0249
864,274.1330,338.6566
865,358.7708,420.4979
866,257.6916,304.1604
867,331.5924,412.2699
868,151.4912,188.1196
869,90.2013,112.5411
870,319.8382,380.5594
871,90.3626,112.5411
872,30.1756,37.5826
873,184.5789,226.6304
874,279.8580,339.9967
875,151.7052,188.3259
876,212.5567,263.4914
877,182.4472,226.5273
878,243.4241,301.8991
879,308.7556,379.4310
880,354.1066,420.9067
881,577.7314,687.3812
882,257.2430,306.1046
883,402.1723,492.5922
884,193.3804,229.9102
885,1045.6529,1257.7058
886,437.5681,532.6390
887,244.5587,303.4420
888,163.9508,192.4237
889,265.8055,307.8373
890,214.4002,265.5504
891,535.3546,649.6931
892,455.1818,539.7821
893,307.1350,378.5060
894,399.7978,494.4394
895,92.6968,113.9833
896,453.4670,538.9693
897,252.0341,305.2870
898,309.6037,381.9921
899,248.3840,304.1600
900,218.8689,267.4966
901,842.4319,999.8062
902,323.8392,385.3557
903,318.3276,381.9921
904,251.7332,305.2870
905,511.3033,613.8410
906,935.8474,1117.2558
907,655.7516,776.5895
908,380.9213,459.8203
909,422.1910,504.1162
910,418.3206,500.7689
911,356.2044,423.9622
912,353.7315,424.2666
913,162.1228,193.3374
914,521.0085,615.7758
915,261.0465,308.8533
916,358.2452,425.7888
917,329.6628,390.0110
918,465.3343,545.6516
919,132.2244,155.3384
920,166.3638,193.8443
921,1097.8134,1285.4471
922,331.7753,388.3959
923,976.0451,1136.3527
924,201.3506,233.7648
925,201.2089,233.9663
926,400.4499,467.8314
927,260.6329,310.5754
928,435.9770,509.7602
929,556.4303,660.4647
930,439.8933,509.2575
931,664.6612,779.7186
932,371.8919,430.7332
933,684.1999,789.1523
934,239.4345,274.8878
935,868.7974,987.9153
936,294.4351,351.6044
937,1060.9961,1223.8890
938,273.0163,314.3005
939,137.6248,157.6511
940,376.3045,433.2397
941,642.3866,748.1398
942,651.6123,750.9391
943,366.0741,432.0368
944,137.7670,158.2502
945,307.9749,355.7135
946,601.2037,676.0964
947,265.4886,314.6010
948,265.0609,314.4006
949,310.9844,356.7104
950,283.0083,319.3823
951,1179.6193,1317.4341
952,207.4030,238.3711
953,809.2113,916.9461
954,285.5344,319.9762
955,449.4792,515.2596
956,249.9946,280.8558
957,771.0076,876.7395
958,245.3256,279.0758
959,210.5081,239.1653
960,285.8146,321.2601
961,496.0646,559.9329
962,388.8075,438.6179
963,317.3795,359.1936
964,288.2014,320.4707
965,321.7341,360.9729
966,251.1142,280.5598
967,288.3664,321.4571
968,216.2871,241.4377
969,251.3087,282.4311
970,288.1481,322.3429
971,468.4732,521.6035
972,288.7464,323.3250
973,364.7408,403.9356
974,403.9357,442.9636
975,537.3264,602.2143
976,477.9995,525.3419
977,550.0540,608.8903
978,446.8653,484.3494
979,877.0423,976.2352
980,262.1285,283.2156
981,601.3926,648.7068
982,485.3571,527.8874
983,445.8016,485.4280
984,403.7812,444.8291
985,264.9459,285.0729
986,491.8195,529.1564
987,515.8556,532.0750
988,576.7459,612.5944
989,302.0508,325.5747
990,150.4411,163.2745
991,224.0180,244.6683
992,257.6889,309.4620
993,654.6083,693.8909
994,357.6884,401.6734
995,537.4747,606.7363
996,546.4791,602.5093
997,542.6699,602.8041
998,1121.9019,1246.8946
999,332.2074,364.0229
1000,619.3763,684.1043
1001,507.2585,564.3706
1002,938.3528,1052.8350
1003,325.1995,364.8058
1004,500.3853,565.2547
1005,503.7054,567.5086
1006,1011.1029,1099.4957
1007,1023.9503,1139.3141
1008,592.8469,651.8315
1009,1012.6709,1064.9252
1010,1363.9663,1478.1027
1011,1006.6168,1106.0099
1012,700.3711,741.7599
1013,1541.5175,1560.7575
1014,460.0365,490.8921
1015,492.2999,492.6372
1016,694.4937,698.4506
1017,1096.8425,1198.2303
1018,605.2781,575.5827
1019,1098.8081,1034.0794
1020,158.5830,164.4385
1021,1394.4404,1406.4475
1022,619.1067,663.5332
1023,512.4745,494.7634
1024,783.8000,661.7081
1025,1302.7456,1245.0831
1026,348.3301,374.6745
1027,782.0304,831.0447
1028,512.3141,454.9300
1029,269.7049,291.8279
1030,869.3125,961.2115
1031,713.0720,772.6532
1032,726.3004,890.0589
1033,832.0134,1034.3340
1034,370.3765,468.1329
1035,1656.6996,2047.3079
1036,511.9887,639.9630
1037,1002.4000,1259.2849
1038,1018.8645,1228.9014
1039,1171.3982,1444.8987
1040,728.5929,848.0254
1041,891.1266,1039.8374
1042,802.9220,931.4221
1043,625.9206,736.2631
1044,399.4529,461.8574
1045,715.5603,818.9310
1046,234.5645,273.4812
1047,337.3174,385.9648
1048,372.1432,426.6999
1049,441.4305,506.5394
1050,233.9615,270.6526
1051,407.1702,470.9487
1052,906.5923,1055.4133
1053,511.7223,588.8868
1054,373.0243,427.1044
1055,605.7144,703.0065
1056,580.6294,662.8850
1057,306.3648,349.8901
1058,239.7774,273.6824
1059,766.0264,895.3398
1060,376.2560,429.2236
1061,681.4178,786.8529
1062,998.9916,1142.5659
1063,790.5806,906.4910
1064,543.4354,625.7893
1065,592.4000,673.0112
1066,379.9522,432.6387
1067,557.9360,630.3013
1068,1111.3927,1261.7038
1069,940.3224,1066.6383
1070,775.2801,874.2565
1071,1202.4285,1352.7864
1072,535.2455,594.6835
1073,1076.2569,1196.3205
1074,562.7880,665.4655
1075,3497.4152,4289.2536
1076,743.0532,879.3254
1077,2187.5129,2660.8729
1078,1106.5323,1312.5901
1079,1651.7868,1988.3244
1080,1938.5257,2337.9809
1081,2446.4057,2986.1018
1082,2346.1934,2855.0104
1083,1469.3001,1741.6281
1084,1810.3331,2163.1077
1085,1958.5647,2370.1867
1086,538.2752,642.7144
1087,611.2884,728.6042
1088,1138.0300,1350.4234
1089,2183.0280,2621.0109
1090,1081.1996,1287.3075
1091,579.1451,699.7228
1092,390.7780,467.8523
1093,2260.9111,2709.5948
1094,2431.6750,2977.4707
1095,557.7841,663.3912
1096,732.4086,888.1747
1097,1202.4387,1446.2348
1098,338.0118,408.5350
1099,1152.4171,1376.5604
1100,739.5033,896.0807
1101,822.2792,987.6454
1102,1497.3825,1778.5367
1103,825.9162,992.8894
1104,2085.7327,2534.2942
1105,714.2746,852.9868
1106,953.4730,1147.4122
1107,557.4355,675.5559
1108,926.8329,1091.2318
1109,687.7834,828.0535
1110,819.5970,972.5930
1111,376.5358,447.8844
1112,694.0513,823.8158
1113,253.5723,301.0740
1114,791.6052,943.6905
