node,Proportional,Uniform
907,774.0306,1159.2215
908,532.0658,686.3776
909,411.3367,752.4984
910,511.2369,747.5019
911,536.4158,632.8519
912,410.9230,633.3062
913,206.5549,288.5964
914,1064.2415,919.1736
915,275.5260,461.0279
916,374.6828,635.5784
917,321.8621,582.1727
918,472.7878,814.4987
919,130.6499,231.8749
920,170.9346,289.3529
921,1100.7476,1918.7974
922,350.6722,579.7618
923,999.2881,1696.2430
924,192.9563,348.9427
925,210.6514,349.2435
926,441.4068,698.3358
927,430.3709,463.5984
928,435.4696,760.9233
929,794.6314,985.8811
930,460.9751,760.1728
931,833.0698,1163.8924
932,388.8639,642.9590
933,661.2295,1177.9742
934,261.8607,410.3272
935,762.9075,1474.6694
936,387.6879,524.8427
937,1133.2733,1826.9091
938,276.2854,469.1590
939,130.2924,235.3270
940,378.8763,646.7005
941,815.9958,1116.7544
942,668.4650,1120.9330
943,489.7142,644.9049
944,117.0067,236.2214
945,276.4206,530.9765
946,459.0889,1009.2146
947,326.0924,469.6075
948,334.0728,469.3084
949,298.6822,532.4646
950,229.4552,476.7447
951,764.4313,1966.5448
952,173.7313,355.8185
953,689.7156,1368.7330
954,225.5484,477.6311
955,489.6127,769.1323
956,204.7047,419.2357
957,757.6279,1308.7163
958,185.3227,416.5787
959,185.4027,357.0040
960,233.1007,479.5477
961,408.8343,835.8164
962,405.6862,654.7286
963,277.0697,536.1713
964,262.7339,478.3692
965,268.8016,538.8272
966,201.4151,418.7939
967,245.8906,479.8417
968,190.3801,360.3960
969,206.5598,421.5873
970,248.5591,481.1639
971,442.7614,778.6018
972,239.7122,482.6299
973,349.5988,602.9580
974,356.8145,661.2154
975,400.8394,898.9303
976,452.1109,784.1822
977,360.3252,908.8956
978,391.6583,722.9924
979,346.7675,1457.2344
980,211.1934,422.7583
981,472.3502,968.3300
982,425.7386,787.9819
983,381.6914,724.6024
984,280.1446,664.0001
985,165.2304,425.5307
986,300.8415,789.8761
987,122.5985,794.2328
988,219.6269,914.4247
989,218.3236,485.9881
990,85.5490,243.7213
991,99.9018,365.2184
992,499.2615,461.9364
993,222.8080,1035.7767
994,281.3297,599.5812
995,369.8986,905.6802
996,806.6951,899.3706
997,656.5704,899.8107
998,1199.9183,1861.2499
999,521.7929,543.3799
1000,554.6133,1021.1681
1001,424.5557,842.4407
1002,801.1176,1571.5754
1003,236.4959,544.5487
1004,377.0517,843.7603
1005,296.2983,847.1248
1006,994.0393,1641.2263
1007,339.6095,1700.6636
1008,140.7965,972.9942
1009,302.5785,1589.6227
1010,1166.8176,2206.3762
1011,404.8161,1650.9501
1012,209.0280,1107.2311
1013,254.4321,2329.7557
1014,80.8142,732.7587
1015,77.6719,735.3636
1016,101.0755,1042.5829
1017,479.4704,1788.6082
1018,57.5139,859.1771
1019,188.3022,1543.5788
1020,20.2944,245.4587
1021,313.2737,2099.4158
1022,142.4103,990.4615
1023,58.0330,738.5375
1024,106.5752,987.7372
1025,140.3556,1858.5458
1026,55.7339,559.2797
1027,144.5056,1240.5072
1028,74.1697,679.0777
1029,47.5102,435.6139
1030,668.6865,1434.8084
1031,1063.0688,1153.3458
1032,3372.4737,2114.1600
1033,2277.3916,1743.5183
1034,842.2270,698.7859
1035,35984.0001,16831.9457
1036,1349.9710,1055.8767
1037,2462.2301,1879.7449
1038,10450.3781,5940.0065
1039,12837.0220,6781.0072
1040,719.9089,1265.8545
1041,858.4023,1552.1738
1042,881.6599,1390.3415
1043,641.1533,1099.0260
1044,343.8591,689.4184
1045,999.2240,1222.4250
1046,321.2478,408.2277
1047,343.3642,576.1329
1048,411.1130,636.9385
1049,495.1555,756.1155
1050,268.6368,404.0054
1051,563.8049,702.9890
1052,1173.4005,1575.4242
1053,579.9196,879.0362
1054,431.0803,637.5423
1055,781.2209,1049.3835
1056,620.7243,989.4938
1057,339.1353,522.2838
1058,239.5332,408.5280
1059,873.3482,1336.4811
1060,419.4049,640.7056
1061,817.1101,1174.5419
1062,1385.9068,1705.5175
1063,997.9471,1353.1266
1064,545.3616,934.1209
1065,718.7545,1004.6093
1066,365.0985,645.8034
1067,575.0663,940.8560
1068,1010.9362,1883.3557
1069,987.3240,1592.1798
1070,900.5555,1305.0098
1071,1380.5941,2019.3154
1072,470.3050,887.6890
1073,1004.3883,1785.7575
1074,4322.6495,2649.1880
1075,5460.3170,6402.6042
1076,6292.6722,3810.5996
1077,3500.2684,3971.9070
1078,2628.5670,2379.5051
1079,3198.9159,2967.9882
1080,3215.7584,3489.9234
1081,3816.9553,4457.3788
1082,4408.8669,4261.6976
1083,7151.7887,4853.1548
1084,3152.2825,3228.8887
1085,2919.5873,3537.9972
1086,5772.9448,3540.6631
1087,1008.4219,1087.5934
1088,1888.4130,2015.7881
1089,3481.1559,3912.4046
1090,1693.7264,1921.5746
1091,797.8832,1044.4820
1092,755.6749,751.8073
1093,3503.9088,4044.6345
1094,3741.2411,4444.4951
1095,856.0214,990.2495
1096,1057.2917,1325.7858
1097,2075.6197,2158.8066
1098,475.6700,609.8236
1099,1729.0805,2054.8030
1100,999.4065,1337.5871
1101,1228.2446,1474.2665
1102,2404.1628,2654.8364
1103,1259.7366,1482.0941
1104,3067.4467,3782.9618
